AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
MUS 150, Jazz and the  Music of the African Diaspora: Special Topics Seminar (4), 4
MUS 151, Race, Culture, and Social Change (4), 4
MUS 152, Hip Hop: The Politics of Culture (4), 4
MUS 153, African Americans and the Mass Media (4), 4
MUS 160A, Senior Project in Computing Arts I (4), 4
MUS 160B, Senior Project in Computing Arts II (4), 4
MUS 170, Musical Acoustics (4), 4
MUS 171, Computer Music I (4), 4
MUS 172, Computer Music II (4), 4
MUS 173, Electronic Music Production and Composition  (4), 4
MUS 174A, Audio/MlDI Studio Techniques I (4), 4
MUS 174B, Audio/MlDI Studio Techniques II (4), 4
MUS 174C, Audio/MlDI Studio Techniques III (4), 4
MUS 175, Musical Psychoacoustics (4), 4
MUS 176, Music Technology Seminar (4), 4
MUS 177, Music Programming (4), 4
MUS 192, Senior Seminar in Music (1), 1
MUS 195, Instructional Assistance (2), 2
MUS 198, Directed Group Study (1–4), 1–4
MUS 199, Independent Study (1–4), 1–4
MUS 200, Contemporary Chamber Opera Performance (4), 4
MUS 201A-B-C-D-E-F, Projects in New Music Performance (1–4, 1–4, 1–4, 1–4, 1–4, 1–4), 1–4, 1–4, 1–4, 1–4, 1–4, 1–4
MUS 202, Advanced Projects in Performance (1–4), 1–4
MUS 203A, Advanced Projects in Composition (6), 6
MUS 203B, Advanced Projects in Composition (6), 6
MUS 203C, Advanced Projects in Composition (6), 6
MUS 203D, Advanced Projects in Composition (1–4), 1–4
MUS 204, Focus on Composition (2), 2
MUS 205, Focus on Integrative Studies (2), 2
MUS 206, Experimental Studies Seminar (4), 4
MUS 207, Theoretical Studies Seminar (4), 4
MUS 209, Advanced Music Theory and Practice (4), 4
MUS 210, Musical Analysis (4), 4
MUS 211, Introduction to Ethnomusicology (2), 2
MUS 212, Introduction to System Inquiry (2), 2
MUS 213, Introduction to Critical Studies (2), 2
MUS 214, Introduction to Creative Practices (2), 2
MUS 228, Conducting (4), 4
MUS 229, Seminar in Orchestration (4), 4
MUS 230, Chamber Music Performance (4), 4
MUS 232, Proseminar in Music Performance (1–4), 1–4
MUS 234, Symphonic Orchestra (4), 4
MUS 245, Focus on Performance (2), 2
MUS 251, Integrative  Studies Seminar in Ethnomusicology (4), 4
MUS 252, Integrative Studies Seminar in Systems Inquiry (4), 4
MUS 253, Integrative  Studies Seminar in Critical Studies (4), 4
MUS 254, Integrative  Studies Seminar in Creative Practice (4), 4
MUS 267, Advanced Music Technology Seminar (4), 4
MUS 270A, Digital Audio Processing (4), 4
MUS 270B, Musical Cognitive Science (4), 4
MUS 270C, Compositional Algorithms (4), 4
MUS 270D, Advanced Projects in Computer Music (4), 4
MUS 271A, Survey of Electronic Music Techniques I (4), 4
MUS 271B, Survey of Electronic Music Techniques II (4), 4
MUS 271C, Survey of Electronic Music Techniques III (4), 4
MUS 272, Seminar in Live Computer Music (4), 4
MUS 296, Directed Group Research in Performance (4), 4
MUS 298, Directed Research (1–4), 1–4
MUS 299, Advanced Research  Projects and Independent Study (1–12), 1–12
MUS 500, Apprentice Teaching (1–4), 1–4
MUS 501, Apprentice Teaching—Nondepartmental (4), 4
NEU 199, Independent Research (2 or 4), 2 or 4
NEU 200A-B-C, Basic Neuroscience (4-4-4), 4-4-4
NEU 210, Neurobiology Boot Camp (4), 4
NEU 221, Advanced Topics in Neurosciences (2), 2
NEU 225, Statistical Methods and Experimental Design (2), 2
NEU 241, Ethics and Survival Skills in Academia (3), 3
NEU 243, Physiological Basis of Human Information (2), 2
NEU 259, Workshop in Electron Microscopy (4), 4
NEU 260, Light and Electron Microscopy of Cells and Tissue (4), 4
NEU 265, Mechanisms of Pain (2), 2
NEU 266, Development of Neural Circuits (4), 4
NEU 268, Molecular and Cellular Neurobiology (4), 4
NEU 270A, Neurobiology of Disease: Mechanisms of Neurodegeneration (4), 4
NEU 270B, Neurobiology of Disease: Neurodevelopmental Disorders (4), 4
NEU 276, Neuroscience Research Rounds (1), 1
NEU 277, Neuropsychopharmacology (4), 4
NEU 280, Minor Proposition (4), 4
NEU 285, Clinical Trails:  Issues and Dilemmas in Clinical Trials (2), 2
NEU 296, Neurosciences Research Rotation (1–12), 1–12
NEU 298, Neurosciences  Independent Study Project (ISP) (1–12), ISP) (1–12
NEU 299, Neurosciences Research (1–12), 1–12
NEU 401, Neurology  General Clinical Selective Clerkship (7), 7
NEU 426, Subintern Pediatric Neurology (7), 7
NEU 427, Neurology Outpatient (7), 7
NEU 496, Clinical Independent Study (1–21), 1–21
NEU 500, Apprenticeship Teaching (1–4), 1–4
NEUG 240, Mathematical Foundations for Computational Neuroscience (3), 3
PHIL 1, Introduction to Philosophy (4), 4
PHIL 10, Introduction to Logic (4), 4
PHIL 12, Scientific Reasoning (4), 4
PHIL 13, Introduction to Philosophy: Ethics (4), 4
PHIL 14, Introduction  to Philosophy: The Nature of Reality (4), 4
PHIL 15, Introduction  to Philosophy: Knowledge and Its Limits (4), 4
PHIL 16, Science Fiction and Philosophy (4), 4
PHIL 25, Science, Philosophy, and the Big Questions (4), 4
PHIL 26, Science, Society, and Values (4), 4
PHIL 27, Ethics and Society (4), 4
PHIL 28, Ethics and Society II (4), 4
PHIL 31, Introduction  to Ancient Philosophy (4), 4
PHIL 32, Philosophy and the Rise of Modern Science  (4), 4
PHIL 33, Philosophy between Reason and Despair (4), 4
PHIL 35, Philosophy in the Americas (4), 4
PHIL 50, Law and Society (4), 4
PHIL 87, Freshman Seminar (1), 1
PHIL 90, Basic Problem in Philosophy (4), 4
PHIL 100, Plato (4), 4
PHIL 101, Aristotle (4), 4
PHIL 102, Hellenistic Philosophy (4), 4
PHIL 105, The Empiricists (4), 4
PHIL 106, Kant (4), 4
PHIL 107, Hegel (4), 4
PHIL 108, Nineteenth-Century Philosophy (4), 4
PHIL 109, History of Analytic Philosophy (4), 4
PHIL 110, History of Philosophy: Ancient (4), 4
PHIL 111, History of Philosophy: Early Modern (4), 4
PHIL 112, History of Philosophy: Late Modern (4), 4
PHIL 115, Philosophical Methods Seminar (4), 4
PHIL 120, Symbolic Logic I (4), 4
PHIL 122, Advanced Topics in Logic (4), 4
PHIL 123, Philosophy of Logic (4), 4
PHIL 124, Philosophy of Mathematics (4), 4
PHIL 130, Metaphysics (4), 4
PHIL 131, Topics in Metaphysics (4), 4
PHIL 132, Epistemology (4), 4
PHIL 134, Philosophy of Language (4), 4
PHIL 136, Philosophy of Mind (4), 4
PHIL 137, Moral Psychology (4), 4
PHIL 138, Responsibility (4), 4
PHIL 139, Global Justice (4), 4
PHIL 140, Free Will (4), 4
PHIL 145, Philosophy of Science (4), 4
PHIL 146, Philosophy of Physics (4), 4
PHIL 147, Philosophy of Biology (4), 4
PHIL 148, Philosophy and the Environment (4), 4
PHIL 149, Philosophy of Psychology (4), 4
PHIL 150, Philosophy of the Cognitive Sciences (4), 4
PHIL 151, Philosophy of Neuroscience (4), 4
PHIL 152, Philosophy of Social Science (4), 4
PHIL 155, Mexican Philosophy (4), 4
PHIL 156, Latinx Philosophy (4), 4
PHIL 160, Ethical Theory (4), 4
PHIL 161, Topics in the History of Ethics (4), 4
PHIL 162, Contemporary Moral Issues (4), 4
PHIL 163, Biomedical Ethics (4), 4
PHIL 164, Technology and Human Values (4), 4
PHIL 165, Freedom, Equality, and the Law (4), 4
PHIL 166, Classics in Political Philosophy (4), 4
PHIL 167, Contemporary Political Philosophy (4), 4
PHIL 168, Philosophy of Law (4), 4
PHIL 169, Feminism and Philosophy (4), 4
PHIL 170, Philosophy and Race (4), 4
PHIL 173, Topics in Bioethics (4), 4
PHIL 174, Data Ethics (4), 4
PHIL 175, Aesthetics (4), 4
PHIL 177, Philosophy and Literature (4), 4
PHIL 178, Topics in German Philosophy Translation—Intermediate (2), 2
PHIL 179, Topics in German Philosophy Translation—Advanced (2), 2
PHIL 180, Phenomenology (4), 4
PHIL 181, Existentialism (4), 4
PHIL 183, Topics in Continental Philosophy (4), 4
PHIL 185, Philosophy of Religion (4), 4
PHIL 191A, Philosophy Honors (4), 4
PHIL 191B, The Honors Essay (4), 4
PHIL 195, Introduction to Teaching Philosophy (4), 4
PHIL 199, Directed Individual Study (4), 4
PHIL 200, Proseminar (4), 4
PHIL 201A, Core Course in History (4), 4
PHIL 202, Core Course in Ethics (4), 4
PHIL 204A, Core Course in Philosophy of Science (4), 4
PHIL 205A, Core Course in Metaphysics (4), 4
PHIL 206A, Core Course in Epistemology (4), 4
PHIL 207, Core Course in Philosophy of Mind (4), 4
PHIL 208, Core Course in Philosophy of Language (4), 4
PHIL 209A, Introduction to Science Studies (4), 4
PHIL 209B, Seminar in Science Studies (4), 4
PHIL 209C, Colloquium in Science Studies (4), 4
PHIL 209D, Advanced Approaches to Science Studies (4), 4
PHIL 210, Greek Philosophy (4), 4
PHIL 214, Early Modern Philosophy (4), 4
PHIL 215, Eighteenth-Century Philosophy (4), 4
PHIL 218, Contemporary Analytical Philosophy (4), 4
PHIL 230, Metaphysics (4), 4
PHIL 232, Epistemology (4), 4
PHIL 234, Philosophy of Language (4), 4
PHIL 236, Philosophy of Mind (4), 4
PHIL 245, Philosophy of Science (4), 4
PHIL 250A, Philosophy of the Cognitive Sciences (4), 4
PHIL 260, Ethics (4), 4
PHIL 267, Political Philosophy (4), 4
PHIL 271, Agency and Responsibility Reading Group (1–2), 1–2
PHIL 275, German Philosophy Reading Group (1–2), 1–2
PHIL 276, German Translation Workshop (1–2), 1–2
PHIL 277, Phenomenology Reading Group (1–2), 1–2
PHIL 278, Topics and  Methods in Contemporary Philosophy (1–2), 1–2
PHIL 280, Philosophy of Science Topics and Methods (1–2), 1–2
PHIL 281, History  of Philosophy Research and Methods (1–2), 1–2
PHIL 282, Topics and Methods in Ethics (1–2), 1–2
PHIL 284, Philosophy of Biology Research Group (1–2), 1–2
PHIL 285, Seminar on Special Topics (4), 4
PHIL 286, Philosophy of Physics Reading Group (1–2), 1–2
PHIL 287, Greek Reading Group (1–2), 1–2
PHIL 288, Latin Reading Group (1–2), 1–2
PHIL 290, Directed Independent Study (4), 4
PHIL 292, Writing Workshop (1–3), 1–3
PHIL 295, Research Topics (1–12), 1–12
PHIL 299, Thesis Research (1–12), 1–12
PHIL 500, Apprentice Teaching (1–4), 1–4
PHYS 1A, Mechanics (3), 3
PHYS 1AL, Mechanics Laboratory (2), 2
PHYS 1B, Electricity and Magnetism (3), 3
PHYS 1BL, Electricity and Magnetism Laboratory (2), 2
PHYS 1C, Waves, Optics, and Modern Physics (3), 3
PHYS 1CL, Waves, Optics,  and Modern Physics Laboratory (2), 2
PHYS 2A, Physics—Mechanics (4), 4
PHYS 2B, Physics—Electricity and Magnetism (4), 4
PHYS 2BL, Physics  Laboratory—Mechanics (2), 2
PHYS 2C, Physics—Fluids,  Waves, Thermodynamics, and Optics (4), 4
PHYS 2CL, Physics Laboratory—Electricity and Magnetism (2), 2
PHYS 2D, Physics—Relativity and Quantum Physics (4), 4
PHYS 2DL, Physics Laboratory—Modern Physics (2), 2
PHYS 4A, Physics for Physics Majors—Mechanics (4), 4
PHYS 4B, Physics for  Physics Majors—Fluids, Waves, and Heat (4), 4
PHYS 4C, Physics for  Physics Majors—Electricity and Magnetism (4), 4
PHYS 4D, Physics for Physics Majors—Electromagnetic Waves, Optics, and Special Relativity (4), 4
PHYS 4E, Physics for Physics Majors—Quantum Physics (4), 4
PHYS 5, Stars and Black Holes  (4), 4
PHYS 7, Galaxies and Cosmology  (4), 4
PHYS 8, Physics of Everyday Life (4), 4
PHYS 9, The Solar System (4), 4
PHYS 10, Concepts in Physics (4), 4
PHYS 11, Survey of Physics (4), 4
PHYS 12, Energy and the Environment (4), 4
PHYS 13, Life in the Universe (4), 4
PHYS 30, Poetry for Physicists (4), 4
PHYS 87, Freshman Seminar in Physics and Astrophysics (1), 1
PHYS 98, Directed Group Study (2), 2
PHYS 99, Independent Study (2), 2
PHYS 100A, Electromagnetism I (4), 4
PHYS 100B, Electromagnetism II (4), 4
PHYS 100C, Electromagnetism III (4), 4
PHYS 105A, Mathematical and Computational Physics I (4), 4
PHYS 105B, Mathematical and Computational Physics II (4), 4
PHYS 110A, Mechanics I (4), 4
PHYS 110B, Mechanics II (4), 4
PHYS 111, Introduction to Ocean Waves (4), 4
PHYS 116, Fluid Dynamics for Physicists (4), 4
PHYS 120, Circuits and Electronics (5), 5
PHYS 122, Experimental Techniques (4), 4
PHYS 124, Laboratory Projects (4), 4
PHYS 130A, Quantum Physics I (4), 4
PHYS 130B, Quantum Physics II (4), 4
PHYS 130C, Quantum Physics III (4), 4
PHYS 133, Condensed Matter/Materials Science Laboratory (4), 4
PHYS 137, String Theory (4), 4
PHYS 139, Physics Special Topics (4), 4
PHYS 140A, Statistical and Thermal Physics I (4), 4
PHYS 140B, Statistical and Thermal Physics II (4), 4
PHYS 141, Computational  Physics I: Probabilistic Models and Simulations (4), 4
PHYS 142, Computational  Physics II: PDE and Matrix Models (4), 4
PHYS 151, Elementary Plasma Physics (4), 4
PHYS 152A, Condensed Matter Physics (4), 4
PHYS 152B, Electronic Materials (4), 4
PHYS 154, Elementary Particle Physics (4), 4
PHYS 160, Stellar Astrophysics (4), 4
PHYS 161, Black Holes (4), 4
PHYS 162, Cosmology (4), 4
PHYS 163, Galaxies and Quasars (4), 4
PHYS 164, Observational Astrophysics Research Lab (4), 4
PHYS 170, Medical Instruments: Principles and Practice (4), 4
PHYS 173, Modern Physics Laboratory: Biological and Quantum Physics (4), 4
PHYS 175, Biological Physics (4), 4
PHYS 176, Quantitative Molecular Biology (4), 4
PHYS 177, Physics of the Cell (4), 4
PHYS 178, Biophysics of Neurons and Networks (4), 4
PHYS 191, Undergraduate Seminar on Physics (1), 1
PHYS 192, Senior Seminar in Physics (1), 1
PHYS 198, Directed Group Study (2 or 4), 2 or 4
PHYS 199, Research for Undergraduates (2 or 4), 2 or 4
PHYS 199H, Honors  Thesis Research for Undergraduates (2–4), 2–4
PHYS 200A, Theoretical Mechanics I (4), 4
PHYS 200B, Theoretical Mechanics II (4), 4
PHYS 201, Mathematical Physics (5), 5
PHYS 203A, Advanced Classical Electrodynamics I (5), 5
PHYS 203B, Advanced Classical Electrodynamics II (4), 4
PHYS 210A, Equilibrium Statistical Mechanics (5), 5
PHYS 210B, Nonequilibrium Statistical Mechanics (4), 4
PHYS 211A, Solid-State Physics I (5), 5
PHYS 211B, Solid-State Physics II (4), 4
PHYS 212A, Quantum Mechanics I (4), 4
PHYS 212B, Quantum Mechanics II (4), 4
PHYS 212C, Quantum Mechanics III (4), 4
PHYS 214, Physics of Elementary Particles (4), 4
PHYS 215A, Particles and Fields I (4), 4
PHYS 215B, Particles and Fields II (4), 4
PHYS 215C, Particles and Fields III (4), 4
PHYS 216, Fluid Dynamics for Physicists (4), 4
PHYS 217, Field Theory and the Renormalization Group (4), 4
PHYS 218A, Plasma Physics I (4), 4
PHYS 218B, Plasma Physics II (4), 4
PHYS 218C, Plasma Physics III (4), 4
PHYS 219, Condensed Matter/Materials Science Laboratory    (4), 4
PHYS 220, Group Theoretical Methods in Physics (4), 4
PHYS 221A, Nonlinear and Nonequilibrium Dynamics of Physical Systems (4), 4
PHYS 222A, Elementary Particle Physics (4), 4
PHYS 223, Stellar Structure and Evolution (4), 4
PHYS 224, Physics of the Interstellar Medium (4), 4
PHYS 225A-B, General Relativity (4-4), 4-4
PHYS 226, Galaxies and Galactic Dynamics (4), 4
PHYS 227, Cosmology (4), 4
PHYS 228, High-Energy  Astrophysics and Compact Objects (4), 4
PHYS 230, Advanced Solid-State Physics (4), 4
PHYS 232, Electronic Materials (4), 4
PHYS 235, Nonlinear Plasma Theory (4), 4
PHYS 238, Observational Astrophysics Research Lab (4), 4
PHYS 239, Special Topics (4), 4
PHYS 241, Computational Physics I: Probabilistic Models and Simulations (4), 4
PHYS 242, Computational Physics II: PDE and Matrix    Models (4), 4
PHYS 243, Stochastic Methods (4), 4
PHYS 244, Parallel  Computing in Science and Engineering (4), 4
PHYS 250, Condensed Matter Physics Seminar (0–1), 0–1
PHYS 251, High-Energy Physics Seminar (0–1), 0–1
PHYS 252, Plasma Physics Seminar (0–1), 0–1
PHYS 253, Astrophysics and Space Physics Seminar (0–1), 0–1
PHYS 254, Biophysics Seminar (1), 1
PHYS 255, Biophysics Research Talks (1), 1
PHYS 256, Critical Reading in Quantitative Biology (1), 1
PHYS 257, High-Energy Physics Special Topics Seminar (0–1), 0–1
PHYS 258, Astrophysics and Space Physics Special Topics Seminar (0–1), 0–1
PHYS 260, Physics Colloquium (0–1), 0–1
PHYS 261, Seminar on Physics Research at UC San Diego (0–1), 0–1
PHYS 264, Scientific Method Seminar (1), 1
PHYS 270A, Experimental Techniques for Quantitative Biology (4), 4
PHYS 270B, Quantitative Biology Laboratory (4), 4
PHYS 273, Information Theory and Pattern Formation in Biological Systems (4), 4
PHYS 274, Stochastic Processes in Population Genetics (4), 4
PHYS 275, Fundamentals of Biological Physics (4), 4
PHYS 276, Quantitative Molecular Biology (4), 4
PHYS 277, Physics of the Cell (4), 4
PHYS 278, Biophysics of Neurons and Networks (4), 4
PHYS 279, Neurodynamics (4), 4
PHYS 281, Extensions in Physics (1–3), 1–3
PHYS 295, MS Thesis Research in Materials Physics (1–12), 1–12
PHYS 297, Special Studies in Physics (1–4), 1–4
PHYS 298, Directed Study in Physics (1–12), 1–12
PHYS 299, Thesis Research in Physics (1–12), 1–12
PHYS 500, Instruction in Physics Teaching (1–4), 1–4
POLI 5, Data Analytics for the Social Sciences (4), 4
POLI 10, Introduction  to Political Science: American Politics (4), 4
POLI 11, Introduction  to Political Science: Comparative Politics (4), 4
POLI 12, Introduction  to Political Science: International Relations (4), 4
POLI 13, Power and Justice (4), 4
POLI 27, Ethics and Society (4), 4
POLI 28, Ethics and Society II (4), 4
POLI 30, Political Inquiry (4), 4
POLI 40, Introduction to Law and Society (4), 4
POLI 87, Freshman Seminar (1), 1
POLI 90, Undergraduate Seminar (4), 4
POLI 99H, Independent Study (1), 1
POLI 100A, The Presidency (4), 4
POLI 100B, The US Congress (4), 4
POLI 100C, American Political Parties (4), 4
POLI 100DA, Voting, Campaigning, and Elections (4), 4
POLI 100E, Interest Group Politics (4), 4
POLI 100F, Social Networks (4), 4
POLI 100G, How to Win or Lose an Election (4), 4
POLI 100H, Race and Ethnicity in American Politics (4), 4
POLI 100I, Participation and Inequality (4), 4
POLI 100J, Race in American Political Development (4), 4
POLI 100K, Railroads and American Politics (4), 4
POLI 100M, Political Psychology (4), 4
POLI 100N, Politics in Washington (4), 4
POLI 100O, Perspectives on Race (4), 4
POLI 100P, Economic Entrepreneurs and American Politics (4), 4
POLI 100Q, Advanced Topics in Racial Politics (4), 4
POLI 100T, Business and Politics (4), 4
POLI 100U, Games, Strategy, and Politics (4), 4
POLI 100V, Organized Interests (4), 4
POLI 100W, Politics and Education (4), 4
POLI 100Y, Asian American Politics in the United States (4), 4
POLI 102C, American Political Development (4), 4
POLI 102D, Voting Rights Act: Fifty Years Later (4), 4
POLI 102E, Urban Politics (4), 4
POLI 102F, Mass Media and Politics (4), 4
POLI 102G, Special Topics in American Politics (4), 4
POLI 102J, Advanced Topics in Urban Politics (4), 4
POLI 102K, The Urban Underclass (4), 4
POLI 102L, The Politics of Regulation (4), 4
POLI 103A, California Government and Politics (4), 4
POLI 103B, Politics and Policymaking in Los Angeles (4), 4
POLI 103C, Politics and Policymaking in San Diego (4), 4
POLI 103D, California Local Government: Finance and Administration (4), 4
POLI 104A, The Supreme Court and the Constitution (4), 4
POLI 104B, Civil Liberties—Fundamental Rights (4), 4
POLI 104C, Civil Liberties—The Rights of the Accused and Minorities  (4), 4
POLI 104D, Judicial Politics (4), 4
POLI 104E, Environmental Law and Policy (4), 4
POLI 104F, Seminar in Constitutional Law (4), 4
POLI 104G, Election Law (4), 4
POLI 104I, Law and  Politics—Courts and Political Controversy (4), 4
POLI 104J, Introduction to Legal Reasoning (4), 4
POLI 104K, Legal Argument Formulation (4), 4
POLI 104L, Positive Political Theory of Law (4), 4
POLI 104M, Law and Sex (4), 4
POLI 104N, Race and Law (4), 4
POLI 104P, Science, Technology, and the Law (4), 4
POLI 105A, Latino Politics in the U, Latino Politics in the 
POLI 108, Politics of Multiculturalism (4), 4
POLI 110A, Citizens  and Saints: Political Thought from Plato to Augustine (4), 4
POLI 110B, Sovereigns, Subjects, and the Modern State: Political Thought from Machiavelli to Rousseau (4), 4
POLI 110C, Revolution  and Reaction: Political Thought from Kant to Nietzsche (4), 4
POLI 110DA, Freedom  and Discipline: Political Thought in the Twentieth Century (4), 4
POLI 110EA, American  Political Thought from Revolution to Civil War (4), 4
POLI 110EB, American  Political Thought from Civil War to Civil Rights (4), 4
POLI 110EC, American  Political Thought: Contemporary Debates (4), 4
POLI 110ED, Seminar in American Political Thought (4), 4
POLI 110G, International Political Thought (4), 4
POLI 110H, Democracy and Its Critics (4), 4
POLI 110J, Power in American Society (4), 4
POLI 110K, Liberty and Equality (4), 4
POLI 110M, Green Political Thought (4), 4
POLI 110N, Theories of Nationalism (4), 4
POLI 110T, Modern Political Ideologies (4), 4
POLI 111B, Global Justice in Theory and Action (4), 4
POLI 111D, Social Norms and Global Development (4), 4
POLI 112A, Economic Theories of Political Behavior (4), 4
POLI 112C, Political Theory and Artistic Vision (4), 4
POLI 113A, East  Asian Thought in Comparative Perspective (4), 4
POLI 113B, Chinese and Japanese Political Thought I (4), 4
POLI 113C, Chinese and Japanese Political Thought II (4), 4
POLI 114B, Marxist Political Thought (4), 4
POLI 115A, Gender and Politics (4), 4
POLI 116A, Feminist Theory (4), 4
POLI 117, Bending the Curve: Solutions to Climate Change (4), 4
POLI 118, Game Theory in Political Science, Game Theory in Political Scienc
POLI 119A, Special Topics in Political Theory (4), 4
POLI 120A, Political Development of Western Europe (4), 4
POLI 120B, The German Political System (4), 4
POLI 120C, Politics in France (4), 4
POLI 120D, Germany: Before, During, and After Division (4), 4
POLI 120E, Scandinavian Politics (4), 4
POLI 120G, British Politics (4), 4
POLI 120H, European Integration (4), 4
POLI 120I, Politics in Italy (4), 4
POLI 120N, Contention and Conflict in Africa (4), 4
POLI 120P, Africa’s Success Stories (4), 4
POLI 120Q, Ethnic Politics  (4), 4
POLI 121, Government and Politics of the Middle East (4), 4
POLI 121B, Politics in Israel (4), 4
POLI 122, Politics of Human Rights (4), 4
POLI 122D, Abuse of Power (4), 4
POLI 123, Politics of Empire in Comparative Perspective (4), 4
POLI 124, Israeli-Palestinian Conflict (4), 4
POLI 124A, Political Consequences of Electoral Systems (4), 4
POLI 125, Gender, Politics, and Globalization (4), 4
POLI 125A, Communities and the Environment (4), 4
POLI 125B, The Politics of Food in a Global Economy (4), 4
POLI 125E, The Politics of Conservation in Developing Countries, The Politics of Conservation in Developing Countrie
POLI 126, Political Economy of Development (4), 4
POLI 126AA, Fundamentals  of Political Economy: Modern Capitalism (4), 4
POLI 126AB, Politics and Economics in Eastern Europe (4), 4
POLI 127, Politics of Developing Countries (4), 4
POLI 128, Autocracy, Democracy, and Prosperity (4), 4
POLI 129, How to Steal an Election (4), 4
POLI 130AD, The Politics of the Russian Revolution (4), 4
POLI 130B, Politics in the People’s Republic of China (4), 4
POLI 130G, Politics of Modern India (4), 4
POLI 131, Muslim Integration and Exclusion (4), 4
POLI 131C, The Chinese Revolution (4), 4
POLI 132, Political Development and Modern China (4), 4
POLI 133A, Japanese  Politics: A Developmental Perspective (4), 4
POLI 133D, Political Institutions of East Asian Countries (4), 4
POLI 133G, Postwar US-Japan Relations (4), 4
POLI 133J, Korean Politics (4), 4
POLI 134AA, Comparative Politics of Latin America (4), 4
POLI 134B, Politics in Mexico (4), 4
POLI 134D, Selected Topics in Latin American Politics (4), 4
POLI 134I, Politics  in the Southern Cone of Latin America (4), 4
POLI 134J, Cuba: Revolution and Reform (4), 4
POLI 135, Comparative LGBT Politics (4), 4
POLI 136, Religion and Politics (4), 4
POLI 136A, Nationalism and Politics (4), 4
POLI 137A, Comparative  Political Parties and Interest Groups (4), 4
POLI 137, A Sports Analytics Approach to the Social Sciences (4), 4
POLI 138D, Special Topics in Comparative Politics (4), 4
POLI 140A, International Law (4), 4
POLI 140B, Concepts and Aspects of Revolution (4), 4
POLI 140C, International Crisis Diplomacy (4), 4
POLI 140D, International Human Rights Law: Migrant Populations (4), 4
POLI 142A, United States Foreign Policy (4), 4
POLI 142D, Weapons of Mass Destruction (4), 4
POLI 142I, National and International Security (4), 4
POLI 142J, National Security Strategy (4), 4
POLI 142K, Politics and Warfare (4), 4
POLI 142L, Insurgency and Terrorism (4), 4
POLI 142M, US Foreign Policy/Regional Security (4), 4
POLI 142N, American Defense Policy (4), 4
POLI 142P, Crisis Areas in World Politics (4), 4
POLI 142Q, Cold War (4), 4
POLI 143A, War and Society (4), 4
POLI 144, International Political Economy (4), 4
POLI 144AB, Selected  Topics in International Political Economy (4), 4
POLI 144D, International Political Economy: Money and Finance (4), 4
POLI 144E, The Politics of International Trade (4), 4
POLI 144F, The Politics  of International Trade and Finance (4), 4
POLI 145A, International Politics and Drugs (4), 4
POLI 145C, International  Relations After the Cold War: Theory and Prospect (4), 4
POLI 146A, The U, The 
POLI 147B, Russian-American Relations (4), 4
POLI 150A, Politics of Immigration (4), 4
POLI 151, International Organizations (4), 4
POLI 153, The European Union in World Politics (4), 4
POLI 154, Special Topics in International Relations (4), 4
POLI 160AA, Introduction to Policy Analysis (4), 4
POLI 160AB, Introduction to Policy Analysis (4), 4
POLI 162, Environmental Policy (4), 4
POLI 163, Analyzing Politics (4), 4
POLI 164, The Politics of Public Policy (4), 4
POLI 165, Special Topic: Policy Analysis (4), 4
POLI 168, Policy Assessment (4), 4
POLI 170A, Introductory  Statistics for Political Science and Public Policy (4), 4
POLI 171, Making Policy with Data (4), 4
POLI 172, Advanced Social Data Analytics (4), 4
POLI 173, Social Network Analysis (4), 4
POLI 179, Special Topics in Political Science Methodology (4), 4
POLI 191A–B, Senior Honors Seminar: Frontiers of Political Science (4-4), 4-4
POLI 192, Senior Seminar in Political Science (1), 1
POLI 194, Research Seminar in Washington, DC (4), 4
POLI 194RA, Research Apprenticeship Seminar (4), 4
POLI 194SD, Local Internship Research Seminar (4), 4
POLI 195, Apprentice Teaching (4), 4
POLI 197I, Political Science Washington Internship (6, 8), 6, 8
POLI 197SD, Local Internship in Political Science (4), 4
POLI 198, Directed Group Study (2-4), 2-4
POLI 198RA, Research Apprenticeship (4), 4
POLI 199, Independent Study for Undergraduates (2 or 4), 2 or 4
POLI 200A, Foundations of Political Science (4), 4
POLI 200B, Democracy (4), 4
POLI 200C, States and Markets (4), 4
POLI 204A, Research Design (4), 4
POLI 204B, Quantitative Methods I (4), 4
POLI 204C, Game Theory 1 (4), 4
POLI 205, Game Theory II (4), 4
POLI 210AA, Systems  of Political Thought: Thucydides to Rousseau (4), 4
POLI 210AB, Systems  of Political Thought: Kant to Rawls  (4), 4
POLI 212, Contemporary Sociological Theory (4), 4
POLI 213, Culture and Political Theory (4), 4
POLI 214, Marxist and Post-Marxist Political Philosophy (4), 4
POLI 216, Contemporary Liberal and Democratic Theory (4), 4
POLI 219, Special Topics in Political Theory (4), 4
POLI 220A, Comparative Politics: State and Society (4), 4
POLI 220B, Comparative Politics: Institutions (4), 4
POLI 220C, Origins of the State (4), 4
POLI 223A, Comparative Parliamentary Studies (4), 4
POLI 224, The Politics of Democratization (4), 4
POLI 224A, Elections in Consolidating Democracies (4), 4
POLI 225, Political Violence (4), 4
POLI 225B, The Nation-State (4), 4
POLI 227, Comparative Political Economy (4), 4
